feature_id	name	feature_class	county	map_name	lat	lon	source_lat	source_lon
1519015	Dunn Mountain	Summit	Okanogan	Conconully East	48.564773	-119.646607		
1519016	Dunn Mountain	Summit	Stevens	Dunn Mountain	48.347046	-117.959001		
1504593	Dunns Mountain	Summit	Stevens	Clayton	47.903118	-117.617334		
1519020	Dusk Point	Summit	Mason	Mount Tebo	47.411193	-123.468999		
1519031	Dyer Hill	Summit	Douglas	Wells Dam	47.989880	-119.821255		
1519049	Eagle Mountain	Summit	Stevens	Chewelah	48.320172	-117.643837		
1504616	Eagle Peak	Summit	Yakima	Granger NW	46.471046	-120.158412		
1519051	Eagle Peak	Summit	Lewis	Mount Rainier West	46.755662	-121.779243		
1519052	Eagle Peak	Summit	Stevens	Colville	48.574907	-117.917593		
1519053	Eagle Peak	Summit	Stevens	Northport	48.883204	-117.789008		
1519058	Eagle Point	Summit	Clallam	Mount Angeles	47.939179	-123.408992		
1504621	Eagle Rock	Summit	Spokane	Four Mound Prairie	47.841352	-117.689174		
1512166	Eagle Rock	Summit	Grant	Electric City	47.887706	-119.101061		
1519061	Eagle Rock	Summit	Chelan	Cashmere	47.546787	-120.378675		
1519062	Eagle Rock	Summit	King	Evergreen Mountain	47.775935	-121.355366		
1519064	Earl Peak	Summit	Kittitas	Enchantment Lakes	47.409936	-120.842845		
1528463	East Dome	Summit	Skamania	Mount Saint Helens	46.197228	-122.152050		
1519137	East Peak	Summit	Jefferson	Mount Steel	47.726780	-123.317684		
1519138	East Peak	Summit	Jefferson	Mount Olympus	47.796695	-123.693719		
1519139	East Point	Summit	Chelan	Brief	47.958225	-120.409245		
1519141	East Rock	Summit	Jefferson	Mount Jupiter	47.628165	-123.062838		
1519143	East Twin Butte	Summit	Skamania	Lone Butte	46.110943	-121.751735		
1512175	Eastman Hill	Summit	Pierce	Fort Lewis	47.053426	-122.513997		
1519158	Easy Peak	Summit	Whatcom	Mount Blum	48.859565	-121.420397		
1519163	Ebey Hill	Summit	Snohomish	Riley Lake	48.244760	-121.999790		
1519173	Echo Mountain	Summit	Stevens	Echo Valley	48.641827	-117.985626		
1519174	Echo Peak	Summit	Stevens	Echo Valley	48.670019	-117.938240		
1519177	Eckhart Point	Summit	Skamania	Trout Lake	46.112791	-121.624448		
1512176	Eckler Mountain	Summit	Columbia	Eckler Mountain	46.243175	-117.779690		
